,GWO,AO,BBO,ARO
333,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
334,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
335,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
336,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
337,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
338,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
339,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
340,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
341,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
342,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
343,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
344,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
345,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
346,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
347,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
348,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
349,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
350,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
351,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
352,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
353,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
354,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
