,BBO,GWO,AO,ARO
274,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
275,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
276,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
277,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
278,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
279,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
280,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
281,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
282,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
283,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
284,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
285,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
286,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
287,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
288,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
289,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
290,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
291,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
292,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
293,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
294,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
295,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
296,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
297,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
298,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
299,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
300,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
301,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
302,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
303,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
304,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
305,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
306,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
307,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
308,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
309,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
310,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
311,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
312,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
313,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
314,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
315,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
316,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
317,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
318,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
319,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
320,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
321,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
322,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
323,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
324,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
325,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
326,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
327,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
328,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
329,22792.113042308432,22789.755559204754,22806.94866864933,22788.95727577727
330,22792.113042308432,22788.389738084734,22806.94866864933,22788.95727577727
331,22792.113042308432,22788.389738084734,22806.94866864933,22788.95727577727
332,22792.113042308432,22788.389738084734,22806.94866864933,22788.95727577727
333,22792.113042308432,22788.389738084734,22806.94866864933,22788.95727577727
334,22792.113042308432,22788.389738084734,22806.94866864933,22788.95727577727
