,GWO,AO,ARO,BBO
144,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
145,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
146,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
147,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
148,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
149,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
150,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
151,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
152,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
153,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
154,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
155,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
156,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
157,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
158,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
159,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
160,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
161,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
162,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
163,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
164,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
165,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
166,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
167,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
168,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
169,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
170,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
171,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
172,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
173,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
174,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
175,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
176,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
177,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
178,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
179,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
180,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
181,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
182,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
183,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
184,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
185,22790.87327307099,22841.91560212007,22788.993990153474,22798.795827585305
